0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/img/slide/carousel1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/img/slide/bootstrap-templates.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/img/slide/bootstrap_free-ecommerce.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/img/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/img/slide/carousel3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/img/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/font-awesome/font/fontawesome-webfont.woff?v=3.2.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/img/4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/img/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/img/6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/img/5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/img/maestro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/img/pp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/img/mc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/img/disc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:08 +0700] "GET /DiamonShop/assets/user/img/visa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:10 +0700] "GET /DiamonShop/check HTTP/1.1" 200 10027
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:10 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:10 +0700] "GET /DiamonShop/images/resources/coming-soon-bg.jpg HTTP/1.1" 404 604
